No.,テンプレートID,活動カテゴリ（DiaryActionCategory）,パーソナルデイ,現在の文言,変数,表示位置,備考
109,anxious_1_a,anxious,1,今日は「1」の流れの中で、不安が前に出やすい日。これから進もうとする時ほど、見えない部分が気になりやすくなります。その感覚は、新しい流れに入ろうとしているサインです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
110,anxious_2_a,anxious,2,今日は「2」の流れが、不安を感じやすくする日。周りの空気や人の言葉を受け取りすぎて、心が落ち着きにくかったかもしれません。少し距離を取ることで、自分の感覚が戻ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
111,anxious_3_a,anxious,3,今日は「3」の流れの中でも、気持ちが軽くならない日があります。不安を無理に明るく変えようとしなくて大丈夫です。そのままの気持ちにも、ちゃんと意味があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
112,anxious_4_a,anxious,4,今日は「4」の流れが、不安をはっきり見せる日。気になることや心配な部分が、具体的に見えてきたかもしれません。それは、整えるべき場所が分かってきたということです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
113,anxious_5_a,anxious,5,今日は「5」の変化の中で、不安が大きくなりやすい日。動きがあるほど、先が見えない感覚も出やすくなります。まずは自分のペースを取り戻すことを大切にしましょう。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
114,anxious_6_a,anxious,6,今日は「6」の流れが、不安を深く感じさせる日。人や責任に関わることで、気持ちが重くなった可能性があります。自分を守る選択も、必要なやさしさです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
115,anxious_7_a,anxious,7,今日は「7」の流れが、不安を内側に強く感じさせる日。理由がはっきりしなくても、気持ちが落ち着かないことがあります。その感覚は、内側を見つめる時間へつながっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
116,anxious_8_a,anxious,8,今日は「8」の力が、不安を強さとして感じさせる日。気持ちが大きく動いた分、負担も感じやすかったかもしれません。少し力を抜くことで、バランスが戻ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
117,anxious_9_a,anxious,9,今日は「9」の流れが、不安を手放す方向へ向かう日。強く感じた気持ちも、少しずつ外へ流れていきます。今は整理の途中です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
118,irritated_1_a,irritated,1,今日は「1」の流れが、感情を前に出しやすい日。思うように進まないことで、気持ちが強く出たかもしれません。その反応も、自分の大切なサインです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
119,irritated_2_a,irritated,2,今日は「2」の流れが、人との関係の中でイライラを感じやすい日。ちょっとしたズレや違いが、気になった可能性があります。無理に合わせすぎないことも大切です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
120,irritated_3_a,irritated,3,今日は「3」の流れの中でも、気持ちがうまく乗らない日があります。楽しめないことで、逆に苛立ちが出たのかもしれません。その感覚も、正直な反応です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
121,irritated_4_a,irritated,4,今日は「4」の流れが、整わないことに対するイライラを生みやすい日。思った通りにいかないことが気になったかもしれません。ひとつずつ整えていけば大丈夫です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
122,irritated_5_a,irritated,5,今日は「5」の変化の中で、落ち着かない感覚が出やすい日。流れが速いほど、気持ちが追いつかずイライラにつながることがあります。少し立ち止まることで整ってきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
123,irritated_6_a,irritated,6,今日は「6」の流れが、人への思いの強さとして出る日。期待や責任が強いほど、感情も大きく動きやすくなります。やさしさと同じだけ、感情も動いています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
124,irritated_7_a,irritated,7,今日は「7」の流れが、内側にため込みやすい日。外に出せないことで、イライラが内側に残ったかもしれません。少しずつ言葉にすることも大切です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
125,irritated_8_a,irritated,8,今日は「8」の力が、感情を強く押し出す日。思いがはっきりしている分、衝突や苛立ちも出やすくなります。少し距離を取ると落ち着きます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
126,irritated_9_a,irritated,9,今日は「9」の流れが、感情を外へ出す日。イライラも、溜まっていたものが表に出たのかもしれません。出た分だけ、軽くなっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
127,lost_confidence_1_a,lost_confidence,1,今日は「1」の流れの中で、自分の力に迷いが出ることもあります。新しいことに向かう時ほど、不安や弱さも見えてきます。それでも進もうとしていること自体が、大きな一歩です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
128,lost_confidence_2_a,lost_confidence,2,今日は「2」の流れが、自信の揺らぎとして出やすい日。周りとの比較や反応で、気持ちが揺れたかもしれません。その感覚も、ちゃんと自分の一部です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
129,lost_confidence_3_a,lost_confidence,3,今日は「3」の流れの中でも、自分をうまく出せない日があります。思ったようにいかないことで、自信が揺らいだかもしれません。それでも、あなたの良さは変わっていません。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
130,lost_confidence_4_a,lost_confidence,4,今日は「4」の流れが、自分の課題をはっきり見せる日。できていない部分に目が向いたかもしれません。それは、成長の土台が見えてきたということです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
131,lost_confidence_5_a,lost_confidence,5,今日は「5」の変化の中で、自信が不安定になりやすい日。環境や状況の変化に、気持ちがついていかなかったかもしれません。少しずつ慣れていけば大丈夫です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
132,lost_confidence_6_a,lost_confidence,6,今日は「6」の流れが、自分に厳しくなりやすい日。人のために頑張ろうとするほど、自分を責めやすくなることがあります。やさしさを自分にも向けてください。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
133,lost_confidence_7_a,lost_confidence,7,今日は「7」の流れが、内側の迷いを見せる日。自分について深く考えるほど、自信が揺れることがあります。その時間も、必要な過程です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
134,lost_confidence_8_a,lost_confidence,8,今日は「8」の流れが、結果や評価に意識を向けさせる日。思うようにいかなかったことで、自信を失ったように感じたかもしれません。でも、その経験は力に変わっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
135,lost_confidence_9_a,lost_confidence,9,今日は「9」の流れが、自分の在り方を見直す日。自信をなくした感覚も、次へ進むための整理の一部かもしれません。少しずつ手放していく流れです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
136,nothing_to_do_1_a,nothing_to_do,1,今日は「1」の流れの中でも、動けない日があります。無理に始めようとせず、力をためる時間も大切です。次の一歩は、もう少し先でも大丈夫です。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
137,nothing_to_do_2_a,nothing_to_do,2,今日は「2」の流れが、気持ちを内側に向ける日。何もしたくないのは、受け取りすぎた疲れかもしれません。静かに戻る時間が必要です。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
138,nothing_to_do_3_a,nothing_to_do,3,今日は「3」の流れがあっても、楽しめない日があります。無理に明るくしようとしなくていい日です。そのままの時間にも意味があります。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
139,nothing_to_do_4_a,nothing_to_do,4,今日は「4」の流れが、止まることを必要とする日。整えるために、あえて動かない時間だったのかもしれません。土台を守る大切な休みです。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
140,nothing_to_do_5_a,nothing_to_do,5,今日は「5」の変化の中で、動けない感覚が出やすい日。流れが速いほど、立ち止まる必要も出てきます。今は無理をしない選択が合っています。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
141,nothing_to_do_6_a,nothing_to_do,6,今日は「6」の流れが、自分をいたわることを求める日。何もできない日があっても、それは大切な調整です。やさしく過ごしていい時間です。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
142,nothing_to_do_7_a,nothing_to_do,7,今日は「7」の流れが、静かにこもる時間を作る日。外へ向かわず、自分の内側に戻ることが必要だったのかもしれません。その時間は、ちゃんと意味を持っています。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
143,nothing_to_do_8_a,nothing_to_do,8,今日は「8」の力がある分、動けない自分に焦りが出やすい日。でも、力を使う前には回復が必要です。今日は充電の時間です。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
144,nothing_to_do_9_a,nothing_to_do,9,今日は「9」の流れが、手放しと休息を促す日。何もしたくない気持ちは、終わりと整理のサインかもしれません。そのまま流して大丈夫です。,なし,前半（ベース本文）,フォーム activityキー no_energy → nothing_to_do
145,did_not_go_well_1_a,did_not_go_well,1,今日は「1」の流れの中で、思うように進まないこともあります。始まりの時ほど、試行錯誤はつきものです。その一歩は無駄ではありません。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
146,did_not_go_well_2_a,did_not_go_well,2,今日は「2」の流れが、気持ちを敏感にする日。うまくいかなかったことが、心に残りやすかったかもしれません。少し時間を置くと、やさしく整ってきます。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
147,did_not_go_well_3_a,did_not_go_well,3,今日は「3」の流れの中でも、楽しめない日があります。落ち込んだ気持ちも、無理に変えなくて大丈夫です。そのままの感覚も大切な一部です。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
148,did_not_go_well_4_a,did_not_go_well,4,今日は「4」の流れが、課題をはっきり見せる日。うまくいかなかったことで、整えるべき場所が見えてきたかもしれません。それは前進の一部です。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
149,did_not_go_well_5_a,did_not_go_well,5,今日は「5」の変化の中で、結果が安定しにくい日。思うようにいかなかったのは、流れの途中だった可能性があります。まだ変わっていく余地があります。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
150,did_not_go_well_6_a,did_not_go_well,6,今日は「6」の流れが、自分を責めやすくする日。うまくいかなかったことに対して、気持ちが重くなったかもしれません。そのやさしさは、強さでもあります。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
151,did_not_go_well_7_a,did_not_go_well,7,今日は「7」の流れが、内側を見つめる日。落ち込んだ出来事の中にも、気づきがあったかもしれません。その理解は、これからに活きてきます。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
152,did_not_go_well_8_a,did_not_go_well,8,今日は「8」の流れが、結果への意識を強める日。うまくいかなかったことが、はっきりと感じられたかもしれません。でも、その経験は力に変わっていきます。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
153,did_not_go_well_9_a,did_not_go_well,9,今日は「9」の流れが、一区切りを促す日。落ち込んだ気持ちも、終わりと整理の一部かもしれません。少しずつ次へ進む準備が整っています。,なし,前半（ベース本文）,フォーム activityキー down → did_not_go_well
154,ordinary_record_1_a,ordinary_record,1,今日は「1」の流れが、小さな始まりを含んでいる日。特別なことがなくても、今日を書き残すこと自体が意味を持ちます。新しい流れは、こうした一日から始まります。,なし,前半（ベース本文）,フォーム activityキー record_anyway → ordinary_record
155,ordinary_record_2_a,ordinary_record,2,今日は「2」の流れが、静かな日常をやさしく包む日。何もないように見える時間にも、ちゃんと心の動きがあります。その感覚を残すことも大切です。,なし,前半（ベース本文）,フォーム activityキー record_anyway → ordinary_record
156,ordinary_record_3_a,ordinary_record,3,今日は「3」の流れが、何気ない日にも軽さを添える日。特別でなくても、少し楽しかった瞬間や気がゆるんだ時間があったかもしれません。その小さな明るさも、記録に残していいものです。,なし,前半（ベース本文）,フォーム activityキー record_anyway → ordinary_record
157,ordinary_record_4_a,ordinary_record,4,今日は「4」の流れが、日常を整える日。特別なことがなくても、安定して過ごせたことに意味があります。その一日が、土台になっています。,なし,前半（ベース本文）,フォーム activityキー record_anyway → ordinary_record
