No.,テンプレートID,活動カテゴリ（DiaryActionCategory）,パーソナルデイ,現在の文言,変数,表示位置,備考
1,work_study_1_a,work_study,1,今日は「1」の流れが、前へ進む力を後押ししてくれる日。小さな一歩でも、自分から動いたことにはちゃんと意味があります。今日のがんばりは、これからの道の始まりになっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
2,work_study_2_a,work_study,2,今日は「2」の流れが、周りとの調和を教えてくれる日。がんばった時間の中にも、誰かの言葉や空気を受け取りながら進めた部分があったかもしれません。静かな積み重ねも、ちゃんと前進です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
3,work_study_3_a,work_study,3,今日は「3」の流れが、工夫や表現を引き出してくれる日。ただこなすだけでなく、少し自分らしさを混ぜられたなら、それは良い働き方です。がんばった時間の中に、未来の楽しさの種が残っています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
4,work_study_4_a,work_study,4,今日は「4」の流れが、土台を整える日。地道な作業や面倒なことほど、あとから自分を支えてくれます。派手ではなくても、今日のがんばりは確かな基礎になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
5,work_study_5_a,work_study,5,今日は「5」の風が入りやすい日。仕事や勉強の中でも、いつもと違うやり方や新しい気づきがあったかもしれません。変化を少し受け入れた分だけ、次の選択肢が広がっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
6,work_study_6_a,work_study,6,今日は「6」のやさしさが、責任感に重なる日。自分のためだけでなく、誰かの役に立とうとした時間もあったのではないでしょうか。その丁寧さは、静かに信頼を育てています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
7,work_study_7_a,work_study,7,今日は「7」の静けさが、集中を深めてくれる日。外から見えにくい努力でも、自分の内側では大切な理解が進んでいます。答えを急がず、考えた時間にも価値があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
8,work_study_8_a,work_study,8,今日は「8」の力が、手ごたえにつながりやすい日。がんばったことが、成果や評価の形で見えやすい流れです。まだ途中でも、今日の積み重ねは現実を動かす力になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
9,work_study_9_a,work_study,9,今日は「9」の流れが、ひと区切りを感じさせる日。がんばった中で、終わらせるものや手放すものが見えてきたかもしれません。今日の経験は、次の段階へ進むための整理になっています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
10,family_friends_1_a,family_friends,1,今日は「1」の流れが、人との関係に新しい風を運ぶ日。何気ない会話や一緒に過ごした時間が、これからの関係の小さな始まりになるかもしれません。心が動いた瞬間を、大切に残しておきましょう。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
11,family_friends_2_a,family_friends,2,今日は「2」の流れが、人との距離感をやさしく整える日。誰かと過ごす中で、相手の気持ちを受け取ったり、自分の心に気づいたりしたかもしれません。寄り添う時間にも、静かな意味があります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
12,family_friends_3_a,family_friends,3,今日は「3」の流れが、会話や笑顔を広げてくれる日。一緒に過ごす時間の中で、少し楽しい空気が生まれやすい流れです。小さな笑い声も、今日の大切な記録になります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
13,family_friends_4_a,family_friends,4,今日は「4」の流れが、身近な関係の土台を見せてくれる日。家族や友人との時間の中に、安心できる場所や守りたいものが見えたかもしれません。何気ない日常ほど、長く支えになります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
14,family_friends_5_a,family_friends,5,今日は「5」の風が、人との時間に変化を運ぶ日。いつもと違う会話や、思いがけない流れがあったかもしれません。人と過ごすことで、新しい景色が少し開いていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
15,family_friends_6_a,family_friends,6,今日は「6」のぬくもりが、関係性に深く重なる日。誰かを思いやったり、思いやられたりする中で、心がやわらかくなる瞬間があったのではないでしょうか。あたたかい記憶は、静かに残ります。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
16,family_friends_7_a,family_friends,7,今日は「7」の静けさが、人との時間を少し深くしてくれる日。たくさん話さなくても、同じ空間にいるだけで伝わるものがあったかもしれません。静かなつながりも、ちゃんと心に届いています。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
17,family_friends_8_a,family_friends,8,今日は「8」の流れが、人との関係に手ごたえをもたらす日。一緒に過ごした時間が、信頼や現実的な支えとして感じられたかもしれません。大切なつながりは、日々の中で形になっていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
18,family_friends_9_a,family_friends,9,今日は「9」の流れが、感謝や余韻を深める日。誰かと過ごした時間の中で、改めて大切にしたい気持ちが見えたかもしれません。今日の記憶は、心の中でやさしく整理されていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
19,new_challenge_1_a,new_challenge,1,今日は「1」の流れが、新しい一歩にぴったり重なる日。まだ小さな挑戦でも、自分から踏み出したことには大きな意味があります。今日始めたことが、未来の流れを少し変えていきそうです。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
20,new_challenge_2_a,new_challenge,2,今日は「2」の流れが、新しい経験をやさしく受け取る日。すぐに慣れなくても、感じたことや戸惑いの中に大切な気づきがあります。急がず、少しずつ自分のものにしていけば大丈夫です。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
21,new_challenge_3_a,new_challenge,3,今日は「3」の流れが、新しいことを楽しませてくれる日。うまくできたかどうかより、やってみたことで心が少し動いたなら、それが今日の収穫です。軽やかな好奇心が、次の扉を開いていきます。,なし,前半（ベース本文）,generateDiaryReading のベース本文（末尾アクセントの前）
