No.,テンプレートID,カテゴリ,出力条件,現在の文言,使っている変数,表示位置,備考
190,calendar_day_1_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 1,今日は、小さく始めることに意味が宿りやすい日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 始まり・一歩・自分から動く
191,calendar_day_1_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 1,ほんの少し自分から動いたことが、流れを変えるきっかけになります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 始まり・一歩・自分から動く
192,calendar_day_2_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 2,今日は、人や出来事から受け取るものに、少し丁寧でいられる日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 調和・受け取る・関係性
193,calendar_day_2_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 2,相手との距離感や、自分の気持ちをそっと見ることが助けになります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 調和・受け取る・関係性
194,calendar_day_3_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 3,言葉にしたことや、楽しんだ時間が、今日の中に明るさを添えています。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 楽しさ・表現・言葉
195,calendar_day_3_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 3,軽やかに過ごせた瞬間が、あとから心を少し楽にしてくれます。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 楽しさ・表現・言葉
196,calendar_day_4_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 4,今日は、少し整えることに向いている日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 整える・土台・現実感
197,calendar_day_4_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 4,足元を見直したことや、形に残したことが、あとから支えになります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 整える・土台・現実感
198,calendar_day_5_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 5,今日は、いつもと違う選択や小さな変化が入りやすい日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 変化・移動・新しい風
199,calendar_day_5_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 5,ふと動いたことや、いつもと違ったことが、次の景色につながりそうです。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 変化・移動・新しい風
200,calendar_day_6_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 6,今日は、やさしさや思いやりが自然に動きやすい日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: やさしさ・ケア・つながり
201,calendar_day_6_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 6,誰かを思った時間や、自分をいたわった時間が、今日の大切な一部になります。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: やさしさ・ケア・つながり
202,calendar_day_7_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 7,今日は、静かに内側を見つめることが合っている日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 静けさ・探求・自分の内側
203,calendar_day_7_2,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 7,すぐには言葉にならない気づきも、内側では静かに育っています。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 静けさ・探求・自分の内側
204,calendar_day_8_1,暦の日アクセント,ベース本文の文字数 < 160。重なり・月アクセント未適用（月は base<120 のときのみ試行）。暦の日を桁おろしした数字 = 8,今日は、動いたことが手ごたえとして感じられやすい日です。,なし,末尾アクセント（ベース本文の後、空行1行で連結）,type=calendar_day。テーマ: 力・成果・手ごたえ・現実化
